UniqueCount	AmbigCount
0	1260
0	569
0	1202
426	373
0	89
13	88
1	0
0	325
4	597
185	321
0	0
0	0
0	0
0	0
70	0
0	0
0	0
0	0
0	12
0	0
0	4
0	565
0	12
0	4
0	0
19	0
0	36
0	205
2	58
0	79
0	0
0	47
0	49
1	15
0	324
0	284
0	47
1	1261
2	216
0	102
0	274
0	0
0	9
0	0
0	803
0	62
0	0
0	0
0	61
1	74
1	22
0	75
0	71
0	53
0	19
0	49
0	46
10	439
0	14
0	0
0	0
0	559
0	0
29	1
0	0
